"SchemeCode","CritCode"
"200,377",22
"200,377",34
"200,377",49
"200,377",60
"200,377",63
"200,377",64
"200,377",68
"200,377","4,000"
"200,377","5,004"
"200,377","5,024"
"200,377","5,035"
"200,377","5,053"
"200,377","5,167"
"200,377","5,235"
"200,381",1
"200,381","4,000"
"200,381","5,024"
"200,381","5,045"
"200,381","5,046"
"200,381","5,047"
"200,381","5,053"
"200,381","5,235"
"200,381","5,245"
"200,383",3
"200,383",13
"200,383",25
"200,383",30
"200,383",38
"200,383",42
"200,383",46
"200,383",59
"200,383",67
"200,383",75
"200,383","4,000"
"200,383","5,024"
"200,383","5,025"
"200,383","5,035"
"200,383","5,044"
"200,383","5,074"
"200,383","5,077"
"200,385",1
"200,385","4,000"
"200,385","5,024"
"200,385","5,085"
"200,385","5,164"
"200,387",3
"200,387",10
"200,387",12
"200,387",29
"200,387",36
"200,387",37
"200,387",60
"200,387",62
"200,387",70
"200,387",71
"200,387","4,000"
"200,387","5,005"
"200,387","5,024"
"200,387","5,025"
"200,387","5,043"
"200,387","5,044"
"200,387","5,074"
"200,387","5,167"
"200,387","5,196"
"200,387","5,245"
"200,387","6,101"
"200,387","6,103"
"200,387","6,105"
"200,387","6,106"
"200,387","6,107"
"200,387","6,108"
"200,387","6,109"
"200,387","6,110"
"200,387","6,111"
"200,387","6,112"
"200,387","6,113"
"200,387","6,114"
"200,387","6,600"
"200,387","7,100"
"200,387","8,100"
"200,388",6
"200,388",7
"200,388",15
"200,388",19
"200,388",21
"200,388",29
"200,388",32
"200,388",35
"200,388",41
"200,388",52
"200,388",55
"200,388",66
"200,388","4,003"
"200,388","4,016"
"200,388","4,044"
"200,388","4,045"
"200,388","4,115"
"200,388","4,122"
"200,388","4,157"
"200,388","4,195"
"200,388","4,197"
"200,388","5,000"
"200,388","6,103"
"200,388","6,600"
"200,388","7,101"
"200,388","7,102"
"200,388","7,103"
"200,388","7,104"
"200,388","7,106"
"200,388","7,107"
"200,388","8,100"
"200,391",36
"200,391",56
"200,391","4,000"
"200,391","5,024"
"200,391","5,044"
"200,391","5,074"
"200,391","5,085"
"200,391","5,164"
"200,391","5,167"
"200,393",3
"200,393",13
"200,393",20
"200,393",25
"200,393",30
"200,393",38
"200,393",42
"200,393",46
"200,393",59
"200,393",67
"200,393",75
"200,393","4,000"
"200,393","5,005"
"200,393","5,024"
"200,393","5,025"
"200,393","5,043"
"200,393","5,047"
"200,393","5,053"
"200,393","5,074"
"200,393","5,133"
"200,393","5,167"
"200,393","5,185"
"200,393","5,187"
"200,394",14
"200,394",18
"200,394",20
"200,394",33
"200,394",40
"200,394",51
"200,394",57
"200,394",62
"200,394",65
"200,394",69
"200,394","4,044"
"200,394","4,045"
"200,394","4,174"
"200,394","4,195"
"200,394","4,203"
"200,394","5,046"
"200,397",14
"200,397",18
"200,397",20
"200,397",33
"200,397",40
"200,397",51
"200,397",57
"200,397",62
"200,397",65
"200,397",69
"200,397","4,000"
"200,397","4,021"
"200,397","4,195"
"200,397","5,024"
"200,397","5,025"
"200,397","5,044"
"200,397","5,053"
"200,397","5,074"
"200,397","5,133"
"200,397","5,161"
"200,397","5,164"
"200,397","5,185"
"200,397","5,196"
"200,397","5,235"
"200,397","5,245"
"200,397","6,100"
"200,397","6,601"
"200,397","6,602"
"200,397","6,603"
"200,397","6,604"
"200,397","7,100"
"200,397","8,100"
"200,404",2
"200,404",9
